NOMESC,CD_ESCOLA,link
ALDEIA TEREGUA,100341,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=100341
ALDEIA NHAMANDU MIRIM,469786,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=469786
ALDEIA EKERUA,100195,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=100195
ALDEIA DE PARANAPUA,495670,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=495670
INDIA VANUIRE,421868,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=421868
INDIGENA GUARANI GWYRA PEPO,925135,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=925135
ALDEIA TANGARA,469774,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=469774
TXERU BA  E KUA  I,417439,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=417439
CENTRO DE EDUCACAO E CULTURA I,267200,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=267200
ALDEIA ARACA MIRIM,568430,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=568430
DJEKUPE AMBA ARANDY,559210,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=559210
CLASSES VINCULADAS A EE OMAR D,7734,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=7734
KRUKUTU,103100,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=103100
ALDEIA GWAWIRA,127164,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=127164
KO E JU,343316,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=343316
ALDEIA RENASCER,100201,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=100201
ALDEIA AGUAPEU,559106,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=559106
TXONDARO TEKOA  MBAE,8803,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=8803
CENTRO DE EDUCACAO CULTURA IND,267181,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=267181
CENTRO DE EDUCACAO E CULTURA I,267193,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=267193
ALDEIA ITAPU MIRIM,477783,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=477783
ALDEIA PIACAGUERA,559118,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=559118
NHEMBO E A PORA ESCOLA MUNICIP,272322,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=272322
ALDEIA KOPENOTI,100110,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=100110
ALDEIA BOA VISTA,127152,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=127152
ALDEIA DJAIKOATY,194906,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=194906
ALDEIA YWY PYHAU,482419,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=482419
ALDEIA TEKOA MIRIM,469798,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=469798
ALDEIA CAPOEIRAO,100249,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=100249
ALDEIA ITAPUA,434000,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=434000
KUARAY O E A SOL NASCENTE,559097,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=559097
ALDEIA RIO BRANCO,100948,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=100948
ALDEIA NIMUENDAJU,100146,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=100146
ALDEIA TEKOAPORA,306526,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=306526
ALDEIA RIO BRANCO II,100407,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=100407
TAGUATO AGUIA,566044,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=566044
ALDEIA TAKUARI TY,495219,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=495219
ALDEIA PEGUAO TY,559088,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=559088
INDIA MARIA ROSA,395365,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=395365
ALDEIA URUITY,127176,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=127176
ALDEIA RIO DO AZEITE,100262,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=100262
ALDEIA PINDO TY,559076,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=559076
ALDEIA TAQUARI,499523,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=499523
ALDEIA KARUGWA,268574,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=268574
ESCOLA ESTADUAL INDIGENA  ALDE,9999,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=9999
ALDEIA SANTA CRUZ,100389,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=100389
ALDEIA BANANAL,534924,https://transparencia.educacao.sp.gov.br/Home/DetalhesEscola?codesc=534924
